# ell TT TE EE BB
388 7.453103e-02 8.724798e-04 8.807037e-04 1.743145e-06
389 7.378159e-02 7.893179e-04 8.771500e-04 1.739399e-06
390 7.305644e-02 7.071118e-04 8.734571e-04 1.735695e-06
391 7.235518e-02 6.258726e-04 8.696276e-04 1.732033e-06
392 7.167741e-02 5.456115e-04 8.656639e-04 1.728412e-06
393 7.102274e-02 4.663396e-04 8.615688e-04 1.724834e-06
394 7.039076e-02 3.880681e-04 8.573446e-04 1.721298e-06
395 6.978107e-02 3.108081e-04 8.529939e-04 1.717804e-06
396 6.919327e-02 2.345707e-04 8.485193e-04 1.714351e-06
397 6.862696e-02 1.593672e-04 8.439233e-04 1.710940e-06
398 6.808175e-02 8.520866e-05 8.392084e-04 1.707571e-06
399 6.755722e-02 1.210623e-05 8.343772e-04 1.704244e-06
400 6.705299e-02 -5.992892e-05 8.294322e-04 1.700958e-06
401 6.656864e-02 -1.308857e-04 8.243760e-04 1.697715e-06
402 6.610379e-02 -2.007528e-04 8.192111e-04 1.694512e-06
403 6.565802e-02 -2.695193e-04 8.139399e-04 1.691352e-06
